"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'An orgy of propriety' : Jane Austen and the emergence and legacy of the female author in America, 1826-1926","","007343210","Monograph","Language material ; Text","Volume","","","9783884763704","Scholz, Anne-Marie","","person","author","Scholz, Anne-Marie, author [person]","Mosaic","Band 7 [Mosaic]","Germany","Trier","Wissenschaftlicher Verlag Trier","1999","","183 pages, 21 cm","","YA.2002.a.8490","Austen, Jane, 1775-1817--Criticism and interpretation--History","","English","Dissertation",""
"'And of this place I might have been mistress': adaptations of nineteenth-century novels in film and transmedia --","Austenland and Lost in Austen: plunging into adaptations, immersion, and desire -- ; Emma Approved: capitalizing on 'woman's usual occupations'? -- ; Frankenstein MD: mothering the monster, or feminism and bioethics -- ; Lizzie Bennet Diaries: (ad) dressing and monetizing secrecy in transmedia storytelling -- ; The future of digital storytelling: after Pemberley Digital ; Transmedia storytelling : Pemberley Digital's adaptations of Jane Austen and Mary Shelley ; Welcome to Sanditon: engaging fans in collaborative writitng --","019193419","Monograph","Language material ; Text","Online resource","GBB902417","","9781527523418","Camden, Jennifer","","person","author","Camden, Jennifer, author [person] ; Oestreich, Kate Faber, author [person]","","","England","Newcastle upon Tyne","Cambridge Scholars","2018","","1 online resource (182 pages)","006.7","ELD.DS.375228","Literary studies: c 1800 to c 1900 ; English fiction ; Pemberley Digital (Firm) ; COMPUTERS / General ; Austen, Jane, 1775-1817--Adaptations ; Pride and prejudice (Austen, Jane) ; Shelley, Mary Wollstonecraft, 1797-1851--Adaptations ; Interactive multimedia ; Media studies ; English fiction--19th century--Adaptations ; Feminism & feminist theory ; Digital storytelling","Adaptation","English","",""
"'Emma'","Companion to 'Emma' ; The Cambridge companion to 'Emma'","017496856","Monograph","Language material ; Still image ; Text","Online resource (PDF ebook)","GBB5B4171","","9781316390979","","","","","Sabor, Peter, editor [person]","Cambridge companions to literature","","England","Cambridge","Cambridge University Press","2015","","1 online resource, black and white illustrations","823.7","","Austen, Jane, 1775-1817","","English","Additional physical form: Print version. 9781107082632",""
"'Jane only smiles, I laugh' : zur Poetik des Lachens in den Romanen Jane Austens","Zur Poetik des Lachens in den Romanen Jane Austens","015506575","Monograph","Language material ; Text","Volume","","","9783884769447","Urrejola Dobiasch, Anouschka","","person","author","Urrejola Dobiasch, Anouschka, author [person]","Beiträge zur Anglistik","Band 13 [Beiträge zur Anglistik]","Germany","Trier","Wissenschaftlicher Verlag Trier","2007","","260 pages, 22 cm","","X.0981/701 (13)","Laughter in literature ; Austen, Jane, 1775-1817--Criticism and interpretation","","English ; German","Previously issued as author's dissertation",""
"'Maid of Steele'","Sense and sensibility","015898325","Monograph","Language material ; Text","Volume","GBB263496","","9780956641519","Corbett, C. P.","","person","author","Corbett, C. P., author [person] ; Austen, Jane, 1775-1817 [person]","","","England","York","Whitelocke Pub","2011","","1 volume (unpaged), illustrations, 21 cm","823.92","H.2012/.7085","","","English","' ... the central character being taken from Jane Austen's novel 'Sense and sensibility''--P [4] of cover ; Short stories",""
"'Mansfield Park'","","008358569","Monograph","Language material ; Text","Volume","GB7309612","","9780335008124","Havely, Cicely Palser","","person","author","Open University, Nineteenth-Century Novel and its Legacy Course Team [organisation] ; Havely, Cicely Palser, author [person]","A302 ; Arts, a third level course. the nineteenth-century novel and its legacy","3 [A302] ; unit 3 [Arts, a third level course. the nineteenth-century novel and its legacy]","England","Bletchley","Open University Press","1973","","40 pages, illustrations, 30 cm","823.7","","Austen, Jane, 1775-1817 ; Fiction in English--Austen, Jane--Mansfield Park--Critical studies","","English","",""
"'My Fanny': the price of play","Austen agitated: feeling emotions in mixed media ; Austen's juvenilia and sciences of the mind ; Catherine's education in mindreading in Northhanger Abbey ; Jane Austen and sciences of the mind ; Jane Austen and the perils of mental time travel ; Mapping love in Mansfield Park ; Patterns of attention and memory in Jane Austen ; Persuasion: lessons in sociocognitive understanding ; Pride and Prejudice and social identity theory ; Resilence and Jane Austen","018537543","Monograph","Language material ; Text","Online resource","GBB862827","","9780203732526 ; 9781351401807","Lau, Beth","1951-","person","author","Lau, Beth, 1951-, author [person]","Routledge studies in romanticism","24 [Routledge studies in romanticism]","England","London","Routledge","2018","","1 online resource","823.7","ELD.DS.199681","Austen, Jane, 1775-1817 ; Austen, Jane, 1775-1817--Criticism and interpretation ; Literature and science ; LITERARY CRITICISM / European / English, Irish, Scottish, Welsh","Criticsm and interpretation","English","",""
"'Persuasion'","","010542214","Monograph","Language material ; Text","Volume","GB7900636","","","Jennings, John","1947-","person","author","Jennings, John, 1947-, author [person]","Helicon notes","","Ireland","Dublin","Helicon","1978","","35 pages, 21 cm","823.7","X.909/43051","Austen, Jane, 1775-1817 ; Fiction in English--Austen, Jane--Persuasion","","English","",""
"'Persuasion'","","010995071","Monograph","Language material ; Text","Volume","GB7930309","","","Murray, Patrick","1935-","person","author","Rennie, John, 1937- [person] ; Murray, Patrick, 1935-, author [person]","Inscapes","13 [Inscapes]","Ireland","Dublin","Educational Company of Ireland","1978","","36 pages, 22 cm","823.7","","Austen, Jane, 1775-1817 ; Fiction in English--Austen, Jane--Persuasion--Study outlines--Secondary school texts","","English","",""
"'The ladies!' : a shining constellation of wit and beauty","Pride and prejudice ; The Darcys of Rosings","000210722","Monograph","Language material ; Text","Volume","","","","Barrington, E.","-1931","person","author","Austen, Jane, 1775-1817 [person] ; Barrington, E., -1931, author [person]","","","England","London","Ernest Benn","1927","","","","12601.s.17","","","English","Includes: 'The Darcys of Rosings'. A sequel to Jane Austen's Pride and prejudice",""
