Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
'Short Films (Gibbs etc.)/Script Ideas/Ian's Tape' - Part 2,,040-003389324,File. Archives and Manuscripts,,,,ark:/81055/vdc_100050850945.0x000001,,"Jones, Terence Graham Parry, actor, writer, comedian, screenwriter and film director; called Terry",1942-2020,person,author,"Brett, Simon Anthony Lee, writer and radio producer, 1945- [correspondent] ; Cotton, William Frederick, Knight, aka Bill, television producer and executive, 1928-2008 [correspondent] ; Doyle, Julian, filmaker, active 975-2008 [correspondent] ; Fraser & Dunlop Limited, literary agency, active 973-1989 [correspondent] ; Henshaw, Michael Noel, accountant, 1930-2007 [correspondent] ; Innes, Neil James, writer, comedian and musician, 1944-2019 [correspondent] ; Jacquemin, André, recording engineer, 1952- [correspondent] ; Jones, Terence Graham Parry, actor, writer, comedian, screenwriter and film director; called Terry, 1942-2020 [author] ; Lloyd, John Nicole Fortune, journalist, 1946- [correspondent] ; Taylor, James Alistair, personal assistant of Brian Epstein, 1935-2004 [correspondent] ; Took, Barry, writer and broadcaster, 1928-2002 [correspondent]",,,,,,1971-1977,,1 file,,Western Manuscripts. Add MS 89284/1/3,Arthur Guinness Son & Co Ltd,,English,"Ideas, sequences and drafts of scripts for short films and sketches, mainly written by Michael Palin, and correspondence related to various projects, as follows:. speech to Oxford Union, Christmas 1971 - holograph manuscript (6 pages); letter from John Lloyd, editor of Time Out, asking Palin to write a piece for their forthcoming 'Monty Python' issue, 15 Mar 1973, with attached typescript draft of it; 'The Great British Train Robbery', signed by Michael Palin, 26 Mar 1973 - typescript, with holograph corrections (4 pages); sequence for a sketch entitled 'Department of Environment. Wet Driving', 24 Aug 1973 - typescript (1 page); carbon copy of a letter from Palin to Barry Took asking him his opinion about making a TV programme out of a 'funny book' given to Palin by Julian Doyle, 26 Sept 1973; carbon copy of a letter from Palin and Terry Jones to Bill [Cotton] turning down an offer of employment for an advertising campaign, 1 Oct [1973]; 'First Glimpse of How to Make Christmas More Efficient/The Results of a Special Survey Commissioned by Punch', [1973] - typescript (6 pages); excerpts from Nixon speeches for a Nixon L.P, with holograph annotations on top 'Spike Milligan/Peter Eton Nixon L.P. suggestions, Nov 1973' - typescript (4 pages) and holograph manuscript (1 page); story entitled 'Accountancy and Sex' by Mr A. Putey A.C.A (Bridlington), with cover letter to Haymarket Publishing Ltd. who turned the story down, 31 Dec 1973 - typescript (3 pages); photocopy of a letter from Arthur Guinness Son & Co with attached distribution results from the film Is This a Record?, 16 Jan 1974; script for film Henry Cleans Up, s ponsored by Guinness, with attached call sheet, Feb 1974 - typescript; letter to Palin from R.B.N. Toe (Neil Innes) regarding payment for Palin's work for 'Recycled Vinyl Blues', 27 Mar 1974; correspondence (7 letters between Palin, Michael Henshaw, Bob Salmon, André Jacquemin) regarding the setting up and accounts of Sunrise Music and Recording Ltd (previous name suggestions for the company included Sunflower Music Ltd), of which Palin was one of the directors, 9 Aug 1973-21 Jan 1975, including Sunrise Music leaflets and letterhead paper; Palin's contract for BBC Radio programme Just a Minute, Oct and Nov 1975, with attached list of characters (typescript with holograph notes); 'Christmas 1975 - The Best to You from British Publishing' by Terry Jones and Michael Palin, 24 Nov 1975 - typescript with holograph corrections (4 pages); script for Biggles Goes to See Bruce Springsteen by Michael Palin (signed), Dec 1975 - carbon copy of typescript with holograph corrections (4 pages); photocopy of two pages of the script for 'Tomkinson's Schooldays', Ripping Yarns, 1976; filming schedule and shooting script for the episode 'The Broken Bottle Factory' series 13 of the BBC TV show Tomorrow's World, 2 Mar 1977 - typescript with holograph corrections (18 pages); The file also includes: letter from Alistair Taylor to Terry [Jones] sending him an outline of 'John Lennon sketch' (outline and sketch not included) and asking him to return it, undated; letters to Michael Palin from Simon Brett and letter from Fraser & Dunlop to Palin returning the tape of Ian Ward-Richardson that Palin had sent them and giving him some advice about it, Aug 1972; Michael Palin's royalty statements, 1970-1974; a poster advertising A Poke in the Eye (With a Sharp Stick), a benefit show for Amnesty International, 1976",
A little light worrying : the best of Mel Calman,,11964351,Monograph,Language material ; Text,Volume,GB96Z5145,,9780413693105,"Calman, Mel",,person,author,"Calman, Mel, author [person] ; Calman, Claire, editor [person] ; Palin, Michael, writer [person]",,,England,London,Methuen,1996,,"240 pages, illustrations, 24 cm",741.5942,YK.1996.a.13120,"England ; Humorous cartoons ; Caricatures and cartoons--England ; English wit and humor, Pictorial",,English,,
A pocketful of Python [4],Monty Python's Flying Circus (Television programme),11964585,Monograph,Language material ; Text,Volume,GBA0W6465,,9780413750006,,,,,"Palin, Michael, editor [person]",,,England,London,Methuen,2000,,"64 pages, illustrations (some colour), 17 cm",827.91407,YK.2002.a.4483,English wit and humor,,English,,
A pocketful of Python,Monty Python's Flying Circus (Television programme),11964555,Monograph,Language material ; Text,Volume,GBA131140,,9780413741608,,,,,"Cleese, John, editor [person] ; Palin, Michael, writer [person]",,,England,London,Methuen,1999,,"64 pages, illustrations (some colour), 18 cm",827.91408,YK.2001.a.12911,English wit and humor,,English,Includes index,
A point of view,,8091932,Monograph,Language material ; Text,Volume,GB9028453,,9780715623480,"Took, Barry",,person,author,"Took, Barry, author [person] ; Palin, Michael, writer [person]",,,England,London,Duckworth,1990,,"213 pages, illustrations, portraits, 24 cm",791.092,YC.1990.b.4735,Comedy,,English,,
A sackful of limericks,,17955948,Monograph,Language material ; Still image ; Text,Volume,GBB6A6060,,9781847947994,"Palin, Michael",,person,author,"Ross, Tony, illustrator [person] ; Palin, Michael, author [person]",,,England,London,Random House,2016,New Edition,"viii, 99 pages, illustrations, 19 cm",821.914,YKL.2017.a.14092,Limericks,,English,"Originally published: Hutchinson, 1985",
A sackful of limericks,,17986692,Monograph,Language material ; Still image ; Text,Online resource (ePub ebook),GBB6B8172,,9781473538436,"Palin, Michael",,person,author,"Ross, Tony, illustrator [person] ; Palin, Michael, author [person]",,,England,London,Cornerstone Digital,2016,,"1 online resource, illustrations",821.914,ELD.DS.206460,Limericks,,English,Additional physical form: Print version. 9781847947994,
A sackful of limericks,,18680095,Monograph,Language material ; Text,Online resource,GBB816387,,9781473538436,"Palin, Michael",,person,author,"Ross, Tony, illustrator [person] ; Palin, Michael, author [person]",,,England ; United Kingdom,London,Cornerstone Digital,2016,,1 online resource (96 pages),821.914,ELD.DS.249645,Humour ; Limericks,,English,,
Always look on the bright side of life,,10773355,Monograph,Language material ; Text,Volume,GBA3Y5488,,9781843580645,"Sellers, Robert",,person,author,"Palin, Michael, writer [person] ; Sellers, Robert, author [person]",,,England,London,Metro,2003,,"xiii, 306 pages, 8 pages of plates, illustrations, portraits, 24 cm",791.430941,YK.2004.a.4419,Handmade Films--History ; Motion picture industry--Great Britain,,English,Includes index,
Always look on the bright side of life,Very naughty boys,16454310,Monograph,Language material ; Still image ; Text,Volume,GBB362478,,9781781167083,"Sellers, Robert",,person,author,"Sellers, Robert [person] ; Palin, Michael, writer [person] ; Sellers, Robert, author [person]",,,England,London,Titan,2013,Revised and updated edition,"361 pages, illustrations, 20 cm",791.430941,YK.2014.a.10537,Handmade Films--History ; Motion picture industry--Great Britain,,English,"Previous edition published as: Always look on the bright side of life. London: Metro, 2003",
